requirement_id,owner,verification_ids,implementation_tasks,requirement
CW-012,COURSEWEAVE.md,V04;V10,5;10,Conversation history MUST be session-only. Persisted author reports or proposals MUST be deliberate artifacts with an explicit save action; saving one MUST NOT silently save its entire chat.
CW-013,COURSEWEAVE.md,V04;V05;V08,5;6;9,"Documents, source pages, model output, and imported metadata MUST be treated as untrusted content. Their text MUST NOT alter permissions, network scope, or mutation rules."
CW-014,COURSEWEAVE.md,V06;V07;V09,7;8;11,"Every reported result MUST distinguish deterministic checks, assistant judgment, human review, synthetic-provider evidence, and real-provider evidence. Missing evidence MUST stay visible."
CW-015,COURSEWEAVE.md,V01;V06;V08,2;7;9,"Submission, file presence, an authored correct option, and an assistant's confidence MUST NOT be represented as demonstrated mastery. No chapter mastery gate is added in this release."
CW-016,COURSEWEAVE.md,V07;V08;V09,8;9;11,"Optional protocols/labs/videos MUST remain optional. An unaided protocol MUST not gain assistance through an author feature or preview shortcut, and software MUST NOT fabricate real-world completion."
CW-017,COURSEWEAVE.md,V07;V09,8;11,"Learner-facing course files and exports MUST exclude private author research, review drafts, credentials, student state, and chat. Built-in formative answer keys are deliberately included in the manifest; they are not secure exam secrets."
CW-018,COURSEWEAVE.md,V03;V04;V06;V10,4;5;7;10,"Changes to source content, policy, manifest, or reviewed target MUST invalidate dependent assistant context, pending changes, and reports whose evidence no longer matches. History MUST NOT silently reintroduce revoked material."
CW-019,COURSEWEAVE.md,V04;V09;V10,5;10;11,Errors MUST retain recoverable drafts and explain the next action without exposing secrets. Interrupted requests MUST not silently resume or claim success; owned child processes and temporary credentials MUST be cleaned up.
CW-020,COURSEWEAVE.md,V00;V09,1;11,"The three specifications MUST share one bundle ID, unique requirement ownership, explicit cross-references, and complete requirement-to-verification mapping. A normative change MUST trigger a cross-edition consistency review."
CW-021,COURSEWEAVE.md,V01;V06;V07,2;7;8,"Student-facing promises MUST be limited to capabilities enforced by the targeted student runtime. Author research rules, review rubrics, and prerequisite notes MUST NOT be presented as student-enforced retrieval or mastery controls."
CW-022,COURSEWEAVE.md,V02;V07;V09,3;8;11,Application and course licensing MUST remain separate. Imports MUST preserve notices; asset inclusion MUST record the author's redistribution decision. The application remains PolyForm Shield; this plan does not relicense the course.
TE-001,COURSEWEAVE-TEACHER-EDITION.md,V02;V07;V08;V09,3;8;9;11,The supported edition MUST provide the complete new/import → curate → design/edit → review → validate → student preview → export journey using the existing application.
TE-002,COURSEWEAVE-TEACHER-EDITION.md,V04;V09,5;11,"One continuous author conversation MUST expose all six roles from CW's fact block, with visible role and exact course/module/activity/file scope for each accepted turn."
TE-003,COURSEWEAVE-TEACHER-EDITION.md,V03;V04,4;5,Author assistant context MUST use the server's exact saved revision plus explicitly selected author material. Unsaved edits MUST require a clear save or discard decision before an assistant request against them.
TE-004,COURSEWEAVE-TEACHER-EDITION.md,V02;V05,3;6,"The curator MUST record source identity, content hash, title, origin, retrieval/import date, optional source publication date, review status, intended use, and redistribution decision. Duplicate content MUST be shown without silently merging source identity."
TE-005,COURSEWEAVE-TEACHER-EDITION.md,V04;V06;V09,5;7;11,"The designer MUST propose complete, valid learning metadata and reviewable structure edits, including objectives, aligned prompts, ordered hints, and native option-specific feedback. It MUST report unsupported desired behavior."
TE-006,COURSEWEAVE-TEACHER-EDITION.md,V05;V09,6;11,Source research MUST support explicit URL ingestion and bounded public web discovery through the single optional configured search connector. Every result MUST retain its origin and actual retrieval status.
TE-007,COURSEWEAVE-TEACHER-EDITION.md,V05;V10,6;10,"Author research MUST enforce allow/deny rules, explicit network enablement, per-run request/size/time limits, and cancellation in code. It MUST never inherit browser cookies or student/provider credentials."
TE-008,COURSEWEAVE-TEACHER-EDITION.md,V02;V05;V09,3;6;11,"Local curation and manual editing MUST work without a search provider. If discovery is unavailable, the UI MUST say so and retain user-supplied URL/file workflows; it MUST NOT substitute fabricated search results."
TE-009,COURSEWEAVE-TEACHER-EDITION.md,V06;V09,7;11,The fact checker MUST attach each finding to exact target/source revisions and distinguish model evidence assessment from a human decision. Unsupported citations and inaccessible sources MUST remain visible.
TE-010,COURSEWEAVE-TEACHER-EDITION.md,V03;V06;V09,4;7;11,"The proofreader MUST offer a concrete diff, preserve source meaning unless a substantive change is explicitly identified, and allow rejection or editing before application."
TE-011,COURSEWEAVE-TEACHER-EDITION.md,V01;V06;V07,2;7;8,The compatibility reviewer MUST consume deterministic issue codes and locations from shared validation. It MUST explain effects in student language and stage corrections through the ordinary review boundary.
TE-012,COURSEWEAVE-TEACHER-EDITION.md,V01;V07,2;8,The inspector MUST cover every supported schema-v2 field and preserve valid imported values. Capability metadata not operational in the target student runtime MUST be labeled; unsupported promised behavior blocks the standard handoff.
TE-013,COURSEWEAVE-TEACHER-EDITION.md,V02;V03;V08,3;4;9,"Native content authoring MUST support Markdown lessons and existing notebook-cell edits through reviewed per-file changes. Imported HTML/source/static assets MUST be preserved, inspected, and replaceable through explicit import; rich HTML/SVG design is not required."
TE-014,COURSEWEAVE-TEACHER-EDITION.md,V03;V07;V08,4;8;9,"Notebook changes MUST preserve untouched cells/IDs/metadata, assign IDs only to new cells, and export output-free source notebooks. Running a notebook MUST remain a direct human action in an isolated preview."
TE-015,COURSEWEAVE-TEACHER-EDITION.md,V03;V10,4;10,"Drafts and pending changes MUST survive ordinary application restart through explicit saves. Rejected changes, stale revisions, interrupted saves, and external editor races MUST have visible, tested outcomes."
TE-016,COURSEWEAVE-TEACHER-EDITION.md,V06;V10,7;10,"Review artifacts MUST support explicit save, resolve, dismiss-with-reason, export in an author backup, and deletion. Updated evidence MUST stale dependent findings rather than preserve a green review state."
TE-017,COURSEWEAVE-TEACHER-EDITION.md,V06;V07,7;8,"A required-activity coverage view MUST map objectives to authored activities, prompts, hints/checks, and source support where provided. Gaps MUST be visible; a covered objective MUST NOT be called mastered."
TE-018,COURSEWEAVE-TEACHER-EDITION.md,V01;V06;V08,2;7;9,Prerequisite and unaided-work restrictions MUST be inspectable in both author forms and student preview. Prerequisite mastery notes are advisory in this release; only existing student assistance gates are enforced.
TE-019,COURSEWEAVE-TEACHER-EDITION.md,V08;V09,9;11,"Student preview MUST launch an actual installed student surface from a snapshot, with fresh isolated records/notebooks and provider sharing rules. The existing inert card preview MUST remain clearly labeled as such."
TE-020,COURSEWEAVE-TEACHER-EDITION.md,V07;V09,8;11,"Export MUST include declared and selected transitive learner assets, licenses/notices, runtime inputs, setup instructions, a hash inventory, and a compatibility receipt. It MUST reject unresolved required assets and escaping links."
TE-021,COURSEWEAVE-TEACHER-EDITION.md,V07;V09,8;11,"Author-private source snapshots, reports, excluded assets, draft solutions, author state, and search secrets MUST be absent from student export. Inclusion MUST be deliberate and reviewable."
TE-022,COURSEWEAVE-TEACHER-EDITION.md,V04;V09,5;11,One real text-only model route MUST support every assistant role and the reviewed-edit journey without requiring unverified native model tool calls. Synthetic-only results MUST not satisfy this acceptance gate.
TE-023,COURSEWEAVE-TEACHER-EDITION.md,V09;V10,10;11,"The Author edition MUST provide a complete README, provider/search setup and cost disclosure, a separate project home, backup/restore instructions, restart recovery, and a preserved prior application release."
TE-024,COURSEWEAVE-TEACHER-EDITION.md,V08;V09,9;11,"The shipped UI MUST support keyboard navigation, visible focus, readable diffs/citations, a narrow layout without inaccessible controls, and actionable validation links. Human visual inspection MUST accompany automated checks."
TE-025,COURSEWEAVE-TEACHER-EDITION.md,V04;V05;V06,5;6;7,"The assistant MUST disclose missing/truncated context, uncertainty, and which resources it actually used. It MUST not describe linked-only documents, images, videos, or unexecuted code as inspected."
TE-026,COURSEWEAVE-TEACHER-EDITION.md,V03;V04;V10,4;5;10,"Author project selection and snapshots MUST be revision-bound. Course/role changes, source revocation, reset, or changed context MUST invalidate affected in-flight candidates and future replay."
TE-027,COURSEWEAVE-TEACHER-EDITION.md,V07;V08;V09;V10,8;9;10;11,"Release acceptance MUST cover an unchanged full-course import/export and a newly authored small practical course; it MUST exercise all six roles, both student versions, failure/recovery, and export privacy."
TE-028,COURSEWEAVE-TEACHER-EDITION.md,V06;V07;V09,7;8;11,The product MUST expose what each compatibility/review status means and checks not performed. A human reviewer may resolve editorial findings but MUST NOT override structural incompatibility.
SE-001,COURSEWEAVE-STUDENT-EDITION.md,V01;V07;V09,2;8;11,"A compatible authored package MUST open in released Student v0.2.0 and candidate Student v0.3.0 through their supported launch paths, with the same declared course rules."
SE-002,COURSEWEAVE-STUDENT-EDITION.md,V08;V09,9;11,"Navigation MUST expose declared module/activity order, readable labels, required/optional/excluded status, and the actual selected surface. It MUST not silently complete activities or redirect based on assistant advice."
SE-003,COURSEWEAVE-STUDENT-EDITION.md,V07;V08;V09,8;9;11,"Local HTML/Markdown, static images/diagrams, links, fragments, source views, videos, terminal declarations, external links, and notebook selectors MUST retain their documented target behavior. Unsupported rendering MUST be reported by Author checks."
SE-004,COURSEWEAVE-STUDENT-EDITION.md,V03;V07;V08;V09,4;8;9;11,Students MUST edit personal notebook copies with preserved cell identities. Source notebooks in distribution MUST be output-free; execution and saved student output MUST not mutate the distributed source or author project.
SE-005,COURSEWEAVE-STUDENT-EDITION.md,V06;V08;V09,7;9;11,"The course MUST present authored objectives, meaningful activity prompts, ordered hints, and explanatory formative feedback without claiming that their presence proves learning quality."
SE-006,COURSEWEAVE-STUDENT-EDITION.md,V01;V08;V09,2;9;11,Native single-choice checks MUST validate the selected authored option and show deterministic feedback. Correctness MUST not directly grant completion or mastery authority.
SE-007,COURSEWEAVE-STUDENT-EDITION.md,V04;V08;V09,5;9;11,The Course assistant MUST remain continuous across permitted activities while its current phase policy and displayed context are correct for each accepted turn.
SE-008,COURSEWEAVE-STUDENT-EDITION.md,V04;V08;V09,5;9;11,"The assistant MUST receive authored learning metadata plus explicitly selected lesson text and permitted student evidence. It MUST not automatically ingest linked resources, private author sources, videos, or unshared notebooks."
SE-009,COURSEWEAVE-STUDENT-EDITION.md,V04;V08,5;9,Explicit lesson selection MUST identify the source and revision; changing it or revoking it MUST clear dependent replay. Truncated or omitted material MUST be disclosed.
SE-010,COURSEWEAVE-STUDENT-EDITION.md,V04;V08;V09,5;9;11,"Sharing MUST show the selected content, respect permitted share kinds and limits, and attach to the authorized run. Raw shared content MUST not become durable state or an unconsented future attachment."
SE-011,COURSEWEAVE-STUDENT-EDITION.md,V01;V08;V09,2;9;11,"Prediction/submission gates, disabled assistance, and observer-only phases MUST block all model calls until their authored conditions permit them. Author features MUST not bypass this in student preview."
SE-012,COURSEWEAVE-STUDENT-EDITION.md,V01;V08;V09,2;9;11,"Progress MUST use only valid, correctly bound records and defined artifact-presence checks. Stale/orphan records MUST not count. Excluded phases MUST not enter the required total."
SE-013,COURSEWEAVE-STUDENT-EDITION.md,V07;V08;V09,8;9;11,"Optional protocol prerequisites and unaided conditions MUST remain explicit. Saving a plan, synthetic test record, or attestation MUST not be described as evidence that real activities occurred."
SE-014,COURSEWEAVE-STUDENT-EDITION.md,V09;V10,10;11,"Restart, export, and reset MUST preserve notebook work according to the existing student contracts. Export/reset previews and error messages MUST accurately describe their effect."
SE-015,COURSEWEAVE-STUDENT-EDITION.md,V01;V08,2;9,The local student product MUST not be described as a secure examination or proctoring environment. Withholding answers from model context does not make distributed formative answer keys secret or prevent outside assistance.
SE-016,COURSEWEAVE-STUDENT-EDITION.md,V04;V09;V10,5;10;11,"Provider failure, missing configuration, or denied assistance MUST retain reading, notebook use, manual records, and native checks. No synthetic answer may be silently substituted for a real provider."
SE-017,COURSEWEAVE-STUDENT-EDITION.md,V02;V09;V10,3;10;11,New course packages and updates MUST create separate study homes and retain existing source/application releases for rollback. The author edition MUST never migrate or replace a student's current home as a side effect.
SE-018,COURSEWEAVE-STUDENT-EDITION.md,V01;V07;V08,2;8;9,"Author review decisions, search restrictions, and prerequisite rubrics MUST not be interpreted as runtime extensions. Only supported manifest fields and the shared engine may affect student behavior."
